n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
32.000000,4.000000,4.000000,16.000000,0.039027,0.429900,0.043500,13.430000,0.401000
32.000000,4.000000,8.000000,32.000000,0.041400,0.810500,0.082000,25.330000,0.756100
32.000000,4.000000,16.000000,64.000000,0.041377,1.621900,0.164000,50.680000,1.513000
32.000000,4.000000,32.000000,128.000000,0.041069,3.268100,0.330400,102.130000,3.048600
32.000000,17.333333,29.333333,256.000000,0.042033,6.386367,0.645733,199.573333,5.957400
32.000000,20.000000,40.000000,512.000000,0.077062,6.966800,0.704450,217.710000,6.498850
32.000000,40.000000,40.000000,1024.000000,0.198171,5.418350,0.547850,169.325000,5.054400
32.000000,64.000000,64.000000,4096.000000,0.729737,5.885600,0.595100,183.930000,5.490300
