n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
32.000000,4.000000,4.000000,16.000000,0.008401,1.997100,0.201900,62.410000,1.863000
32.000000,4.000000,8.000000,32.000000,0.008483,3.955300,0.399900,123.600000,3.689700
32.000000,4.000000,16.000000,64.000000,0.008505,7.890400,0.797800,246.580000,7.360500
32.000000,4.000000,32.000000,128.000000,0.008759,15.323300,1.549400,478.850000,14.294200
32.000000,17.333333,29.333333,256.000000,0.011694,22.954600,2.321000,717.330000,21.412833
32.000000,20.000000,40.000000,512.000000,0.017181,31.248350,3.159600,976.510000,29.149600
32.000000,40.000000,40.000000,1024.000000,0.040488,26.520850,2.681550,828.780000,24.739600
32.000000,64.000000,64.000000,4096.000000,0.126741,33.887800,3.426500,1058.990000,31.611800
